2018.09.10 00:50:18.460 | < W | ffe5 | ffe9 | 5611142400f0aa (V  $   )
2018.09.10 00:50:18.463 | < W | ffe5 | ffe9 | 5611112400f0aa (V  $   )
2018.09.10 00:50:18.502 | < W | ffe5 | ffe9 | 5613112400f0aa (V  $   )
2018.09.10 00:50:18.505 | < W | ffe5 | ffe9 | 5616112400f0aa (V  $   )
2018.09.10 00:50:18.547 | < W | ffe5 | ffe9 | 5618112400f0aa (V  $   )
2018.09.10 00:50:18.550 | < W | ffe5 | ffe9 | 561b112400f0aa (V  $   )
2018.09.10 00:50:18.553 | < W | ffe5 | ffe9 | 561e112400f0aa (V  $   )
2018.09.10 00:50:18.593 | < W | ffe5 | ffe9 | 5620112400f0aa (V  $   )
2018.09.10 00:50:18.595 | < W | ffe5 | ffe9 | 5622112400f0aa (V" $   )
2018.09.10 00:50:18.598 | < W | ffe5 | ffe9 | 5624112300f0aa (V$ #   )
2018.09.10 00:50:18.637 | < W | ffe5 | ffe9 | 5624112200f0aa (V$ "   )
2018.09.10 00:50:18.640 | < W | ffe5 | ffe9 | 5624112100f0aa (V$ !   )
2018.09.10 00:50:18.682 | < W | ffe5 | ffe9 | 5624111f00f0aa (V$     )
2018.09.10 00:50:18.685 | < W | ffe5 | ffe9 | 5624111e00f0aa (V$     )
2018.09.10 00:50:18.688 | < W | ffe5 | ffe9 | 5624111d00f0aa (V$     )
2018.09.10 00:50:18.727 | < W | ffe5 | ffe9 | 5624111b00f0aa (V$     )
2018.09.10 00:50:18.730 | < W | ffe5 | ffe9 | 5624111a00f0aa (V$     )
2018.09.10 00:50:18.733 | < W | ffe5 | ffe9 | 5624111900f0aa (V$     )
2018.09.10 00:50:18.817 | < W | ffe5 | ffe9 | 5624111700f0aa (V$     )
2018.09.10 00:50:18.820 | < W | ffe5 | ffe9 | 5624111600f0aa (V$     )
2018.09.10 00:50:18.823 | < W | ffe5 | ffe9 | 5624111500f0aa (V$     )
2018.09.10 00:50:18.827 | < W | ffe5 | ffe9 | 5624111300f0aa (V$     )
2018.09.10 00:50:18.839 | < W | ffe5 | ffe9 | 5624111200f0aa (V$     )
2018.09.10 00:50:18.862 | < W | ffe5 | ffe9 | 5624111100f0aa (V$     )
2018.09.10 00:50:18.865 | < W | ffe5 | ffe9 | 5624131100f0aa (V$     )
2018.09.10 00:50:18.867 | < W | ffe5 | ffe9 | 5624151100f0aa (V$     )
2018.09.10 00:50:18.907 | < W | ffe5 | ffe9 | 5624181100f0aa (V$     )
2018.09.10 00:50:18.910 | < W | ffe5 | ffe9 | 56241b1100f0aa (V$     )
2018.09.10 00:50:18.952 | < W | ffe5 | ffe9 | 5624211100f0aa (V$!    )
2018.09.10 00:50:18.955 | < W | ffe5 | ffe9 | 5624241100f0aa (V$$    )
2018.09.10 00:50:18.958 | < W | ffe5 | ffe9 | 5622241100f0aa (V"$    )
2018.09.10 00:50:18.997 | < W | ffe5 | ffe9 | 5621241100f0aa (V!$    )
2018.09.10 00:50:19.00 | < W | ffe5 | ffe9 | 561f241100f0aa (V $    )
2018.09.10 00:50:19.03 | < W | ffe5 | ffe9 | 561e241100f0aa (V $    )
2018.09.10 00:50:19.042 | < W | ffe5 | ffe9 | 561d241100f0aa (V $    )
2018.09.10 00:50:19.045 | < W | ffe5 | ffe9 | 561b241100f0aa (V $    )
2018.09.10 00:50:19.047 | < W | ffe5 | ffe9 | 5619241100f0aa (V $    )
2018.09.10 00:50:19.087 | < W | ffe5 | ffe9 | 5617241100f0aa (V $    )
2018.09.10 00:50:19.090 | < W | ffe5 | ffe9 | 5615241100f0aa (V $    )
2018.09.10 00:50:19.132 | < W | ffe5 | ffe9 | 5613241100f0aa (V $    )
2018.09.10 00:50:19.135 | < W | ffe5 | ffe9 | 5611241000f0aa (V $    )
2018.09.10 00:50:19.138 | < W | ffe5 | ffe9 | 5610241100f0aa (V $    )
2018.09.10 00:50:19.177 | < W | ffe5 | ffe9 | 560f241300f0aa (V $    )
2018.09.10 00:50:19.180 | < W | ffe5 | ffe9 | 560f241400f0aa (V $    )
2018.09.10 00:50:19.183 | < W | ffe5 | ffe9 | 560f241600f0aa (V $    )
2018.09.10 00:50:19.222 | < W | ffe5 | ffe9 | 560f241800f0aa (V $    )
2018.09.10 00:50:19.225 | < W | ffe5 | ffe9 | 560f241900f0aa (V $    )
2018.09.10 00:50:19.228 | < W | ffe5 | ffe9 | 560f241a00f0aa (V $    )
2018.09.10 00:50:19.268 | < W | ffe5 | ffe9 | 560f241c00f0aa (V $    )
2018.09.10 00:50:19.270 | < W | ffe5 | ffe9 | 560f241d00f0aa (V $    )
2018.09.10 00:50:19.357 | < W | ffe5 | ffe9 | 56101f2400f0aa (V  $   )
2018.09.10 00:50:19.360 | < W | ffe5 | ffe9 | 56101e2400f0aa (V  $   )
2018.09.10 00:50:19.363 | < W | ffe5 | ffe9 | 56101c2400f0aa (V  $   )
2018.09.10 00:50:19.402 | < W | ffe5 | ffe9 | 5610192400f0aa (V  $   )
2018.09.10 00:50:19.405 | < W | ffe5 | ffe9 | 5610172400f0aa (V  $   )
2018.09.10 00:50:19.447 | < W | ffe5 | ffe9 | 5610152400f0aa (V  $   )
2018.09.10 00:50:19.450 | < W | ffe5 | ffe9 | 5610122400f0aa (V  $   )
2018.09.10 00:50:19.453 | < W | ffe5 | ffe9 | 5610102400f0aa (V  $   )
2018.09.10 00:50:19.492 | < W | ffe5 | ffe9 | 56100f2400f0aa (V  $   )
2018.09.10 00:50:19.495 | < W | ffe5 | ffe9 | 5612102400f0aa (V  $   )
2018.09.10 00:50:19.498 | < W | ffe5 | ffe9 | 5613102400f0aa (V  $   )
2018.09.10 00:50:19.582 | < W | ffe5 | ffe9 | 5617102400f0aa (V  $   )
2018.09.10 00:50:19.627 | < W | ffe5 | ffe9 | 5623112400f0aa (V# $   )
2018.09.10 00:50:19.630 | < W | ffe5 | ffe9 | 5624112400f0aa (V$ $   )
2018.09.10 00:50:19.633 | < W | ffe5 | ffe9 | 5624112000f0aa (V$     )
2018.09.10 00:50:19.672 | < W | ffe5 | ffe9 | 5624101e00f0aa (V$     )
2018.09.10 00:50:19.675 | < W | ffe5 | ffe9 | 5624101c00f0aa (V$     )
2018.09.10 00:50:19.717 | < W | ffe5 | ffe9 | 5624101b00f0aa (V$     )
2018.09.10 00:50:19.720 | < W | ffe5 | ffe9 | 5624101a00f0aa (V$     )
2018.09.10 00:50:19.723 | < W | ffe5 | ffe9 | 5624101900f0aa (V$     )
2018.09.10 00:50:19.762 | < W | ffe5 | ffe9 | 5624101800f0aa (V$     )
2018.09.10 00:50:19.765 | < W | ffe5 | ffe9 | 5624111700f0aa (V$     )
2018.09.10 00:50:19.767 | < W | ffe5 | ffe9 | 5624111500f0aa (V$     )
2018.09.10 00:50:19.807 | < W | ffe5 | ffe9 | 5624111400f0aa (V$     )
2018.09.10 00:50:19.810 | < W | ffe5 | ffe9 | 5624111200f0aa (V$     )
2018.09.10 00:50:19.817 | < W | ffe5 | ffe9 | 5624121100f0aa (V$     )
2018.09.10 00:50:19.853 | < W | ffe5 | ffe9 | 5624131100f0aa (V$     )
2018.09.10 00:50:19.855 | < W | ffe5 | ffe9 | 5624151100f0aa (V$     )
